name,gender
Hasita,F
Hasumati,F
Hatisha,F
Havisa,F
Heena,F
Heerkani,F
Hema,F
Hemaani,F
Hemagni,F
Hemakshi,F
Hemalata,F
Hemamalini,F
Hemangi,F
Hemangini,F
Hemani,F
Hemanti,F
Hemanya,F
Hemaprabha,F
Hemashri,F
Hemavati,F
Hemkanta,F
Hemlata,F
Hena,F
Henna,F
Hera,F
Hetal,F
Hetavi,F
Hilla,F
Hima,F
Himagouri,F
Himaja,F
Himani,F
Hina,F
Hinda,F
Hindola,F
Hir,F
Hira,F
Hiral,F
Hiranmayi,F
Hiranya,F
Hiranyadha,F
Hiranyaprakai,F
Hirkani,F
Hisha,F
Hishetha,F
Hita,F
Hitaishi,F
Hitul,F
Hiya,F
Holika,F
Honey,F
Hoor,F
Hradha,F
Hradini,F
Hridya,F
Humaila,F
Husna,F
Hyma,F
Hymavathy,F
Ibha,F
Ichha,F
Idha,F
Idhika,F
Idhitri,F
Idika,F
Iditri,F
Iha,F
Ihina,F
Ihita,F
Ihitha,F
Ijaya,F
Iksha,F
Ikshana,F
Ikshita,F
Ikshitha,F
Ikshu,F
Ikshula,F
Iksura,F
Ila,F
Ilampirai,F
Ilavalagi,F
Ilavenil,F
Ilisha,F
Imani,F
Ina,F
Inayat,F
Inchara,F
Indali,F
Indira,F
Indiya,F
Indrakshi,F
Indrani,F
Indrasena,F
Indratha,F
Indrayani,F
Indrina,F
Indu,F
Induja,F
Indukala,F
Indulala,F
Indulekha,F
Induleksh,F
Induma,F
Indumati,F
Indumauli,F
Indumukhi,F
Induprabha,F
Indusheetala,F
Inika,F
Iniya,F
Inka,F
Inkurali,F
Inu,F
Ipsa,F
Ipsita,F
Ira,F
Iraja,F
Iravati,F
Irit,F
Isai,F
Isha,F
Ishana,F
Ishani,F
Ishanika,F
Ishanvi,F
Ishanya,F
Ishi,F
Ishika,F
Ishita,F
Ishmita,F
Ishta,F
Ishwari,F
Ishwarya,F
Ishya,F
Isiri,F
Itkila,F
Ivy,F
Iyalisai,F
Iyla,F
Izumi,F
Jaba,F
Jabeen,F
Jagadamba,F
Jagadambika,F
Jaganmata,F
Jaganmayee,F
Jaganmohini,F
Jagathi,F
Jagati,F
Jagavi,F
Jagrati,F
Jagriti,F
Jagruti,F
Jagvi,F
Jahanara,F
Jaheel,F
Jahnavi,F
Jailekha,F
Jaiman,F
Jaimathi,F
Jaina,F
Jaipriya,F
Jaishree,F
Jaisudha,F
Jaitashri,F
Jaiwanti,F
Jalabala,F
Jaladhi,F
Jaladhija,F
Jalahasini,F
Jalaja,F
Jalanhili,F
Jalbala,F
Jalela,F
Jalpa,F
Jalpoorna,F
Jalsa,F
Jamini,F
Jamuna,F
Janaki,F
Janaknandini,F
Janani,F
Janata,F
Janavika,F
Janhavi,F
Janhitha,F
Janisha,F
Janitha,F
Janki,F
Jansi,F
Januja,F
Jarn,F
Jarul,F
Jasima,F
Jasmin,F
Jasmit,F
Jasoda,F
Jasodhara,F
Jasu,F
Jasum,F
Jasweer,F
Jaya,F
Jayakirthi,F
Jayalakshmi,F
Jayalalita,F
Jayamala,F
Jayan,F
Jayani,F
Jayanti,F
Jayantika,F
Jayaporna,F
Jayaprabha,F
Jayaprada,F
Jayashree,F
Jayashri,F
Jayasree,F
Jayasudha,F
Jayati,F
Jayavanti,F
Jayita,F
Jayitri,F
Jayna,F
Jayne,F
Jayshree,F
Jayshri,F
Jaysree,F
Jeel,F
Jeeteshi,F
Jeeva,F
Jeeval,F
Jeevankala,F
Jeevanlata,F
Jeevika,F
Jeevitha,F
Jemini,F
Jenya,F
Jesal,F
Jeshna,F
Jeshri,F
Jesmitha,F
Jetashri,F
Jhalak,F
Jharna,F
Jhilmil,F
Jhinuk,F
Jiaan,F
Jigi,F
Jigisha,F
Jigna,F
Jignasa,F
Jigya,F
Jigyasa,F
Jigyasha,F
Jilpa,F
Jinal,F
Jisha,F
Jithya,F
Jivi,F
Jivika,F
Jivita,F
Jiya,F
Jnya,F
Joel,F
Joshika,F
Joshita,F
Joshitha,F
Josya,F
Jovita,F
Jowaki,F
Joya,F
Juana,F
Juhi,F
Jui,F
Juily,F
Jyeshtha,F
Jyoti,F
Jyotibala,F
Jyotika,F
Jyotirmayi,F
Jyotirmoyee,F
Jyotishmati,F
Jyotsana,F
Jyotsna,F
Kaasni,F
Kadambari,F
Kadambini,F
Kadhiroli,F
Kahini,F
Kairavi,F
Kaishori,F
Kajal,F
Kajjali,F
Kajol,F
Kajri,F
Kakali,F
Kakoli,F
Kaksha,F
Kaksi,F
Kala,F
Kalaimagal,F
Kalaka,F
Kalakarni,F
Kalandhika,F
Kalanidhi,F
Kalapi,F
Kalapini,F
Kalavati,F
Kali,F
Kalika,F
Kalima,F
Kalindi,F
Kalini,F
Kalka,F
Kallol,F
Kalpana,F
Kalpini,F
Kalpita,F
Kalpitha,F
Kalya,F
Kalyani,F
Kama,F
Kamadha,F
Kamakshi,F
Kamakya,F
Kamala,F
Kamalakshi,F
Kamalasambhava,F
Kamali,F
Kamalika,F
Kamalini,F
Kamalkali,F
Kamana,F
Kameshvari,F
Kamika,F
Kamini,F
Kamitha,F
Kamna,F
Kampana,F
Kamya,F
Kana,F
Kanaka,F
Kanakabati,F
Kanakapriya,F
Kanaklata,F
Kanakpriya,F
Kanan,F
Kananbala,F
Kanasu,F
Kanchan,F
Kanchana,F
Kanchi,F
Kandhal,F
Kandhara,F
Kangana,F
Kani,F
Kanika,F
Kanimoli,F
Kanira,F
Kanitha,F
Kanjari,F
Kanjri,F
Kankalini,F
Kankana,F
Kanmani,F
Kannaki,F
Kansha,F
Kanta,F
Kantha,F
Kanti,F
Kanupritha,F
Kanupriya,F
Kanush,F
Kanushi,F
Kanya,F
Kanyakumari,F
Kanyana,F
Kapalini,F
Kapardini,F
Kapila,F
Kapotakshi,F
Karabi,F
Karala,F
Karalika,F
Kareena,F
Karishma,F
Karka,F
Karla,F
Karnapriya,F
Karuka,F
Karuli,F
Karuna,F
Karunamayee,F
Karunamayi,F
Karunya,F
Kashi,F
Kashika,F
Kashish,F
Kashmira,F
Kashvi,F
Kashwini,F
Kashyapi,F
Kasturi,F
Katyayani,F
Kaumudi,F
Kausalya,F
Kaushali,F
Kaushalya,F
Kaushika,F
Kaushiki,F
Kaustubhi,F
Kautirya,F
Kavana,F
Kaveri,F
Kavika,F
Kavini,F
Kavita,F
Kavitha,F
Kaviya,F
Kavni,F
Kavya,F
Kayalvili,F
Keemaya,F
Kenga,F
Kenisha,F
Kerani,F
Kesar,F
Kesari,F
Keshi,F
Keshika,F
Keshini,F
Keshori,F
Ketaki,F
Ketana,F
Ketika,F
Ketki,F
Keya,F
Keyuri,F
Khaivya,F
Khanak,F
Khanika,F
Khevna,F
Khushboo,F
Khushi,F
Khyath,F
Khyati,F
Kilimoli,F
Kimatra,F
Kimaya,F
Kina,F
Kinari,F
Kinjal,F
Kinnari,F
Kinnary,F
Kinnera,F
Kiranmala,F
Kiranmayi,F
Kiranya,F
Kirati,F
Kirtana,F
Kirthana,F
Kirthi,F
Kirti,F
Kirtika,F
Kirtmalini,F
Kiruba,F
Kishmish,F
Kishori,F
Kitu,F
Kiya,F
Kokila,F
Komal,F
Komala,F
Komali,F
Koyel,F
Krandasi,F
Krina,F
Kripa,F
Kripi,F
Krisha,F
Krishi,F
Krishnakali,F
Krishnan,F
Krishnaveni,F
Krithi,F
Krithika,F
Krithya,F
Kriti,F
Krittika,F
Kritu,F
Kriya,F
Krupa,F
Krupali,F
Krupasankari,F
Kruti,F
Ksema,F
Kshama,F
Kshamya,F
Kshanaprabha,F
Kshanika,F
Kshema,F
Kshemya,F
Kshipa,F
Kshipra,F
Kshipva,F
Kshiraja,F
Kshirin,F
Kshirja,F
Kshithi,F
Kshiti,F
Kshitija,F
Kuhan,F
Kuja,F
Kujitha,F
Kukur,F
Kumari,F
Kumkum,F
Kumud,F
Kumuda,F
Kumudini,F
Kunda,F
Kundan,F
Kundanika,F
Kundini,F
Kunisha,F
Kunj,F
Kunjal,F
Kunjalata,F
Kunjana,F
Kunshi,F
Kunshita,F
